coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain
"{'lon': 32.5822, 'lat': 0.3163}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 298.9, 'feels_like': 298.73, 'temp_min': 298.9, 'temp_max': 298.9, 'pressure': 1012, 'humidity': 46, 'sea_level': 1012, 'grnd_level': 882}",10000,"{'speed': 3.51, 'deg': 186, 'gust': 3.67}",{'all': 79},1751461116,"{'country': 'UG', 'sunrise': 1751428164, 'sunset': 1751471862}",10800,232422,Kampala,200,
"{'lon': 36.8167, 'lat': -1.2833}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 296.08, 'feels_like': 295.81, 'temp_min': 296.08, 'temp_max': 296.77, 'pressure': 1015, 'humidity': 53, 'sea_level': 1015, 'grnd_level': 838}",10000,"{'speed': 4.63, 'deg': 120}",{'all': 75},1751461211,"{'type': 1, 'id': 2558, 'country': 'KE', 'sunrise': 1751427311, 'sunset': 1751470682}",10800,184745,Nairobi,200,
"{'lon': 39.2695, 'lat': -6.8235}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 303.36, 'feels_like': 305.21, 'temp_min': 303.36, 'temp_max': 303.36, 'pressure': 1016, 'humidity': 54, 'sea_level': 1016, 'grnd_level': 1014}",10000,"{'speed': 4.63, 'deg': 180}",{'all': 20},1751461382,"{'type': 1, 'id': 2635, 'country': 'TZ', 'sunrise': 1751427290, 'sunset': 1751469527}",10800,160263,Dar es Salaam,200,
"{'lon': 30.0588, 'lat': -1.95}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 298, 'feels_like': 297.61, 'temp_min': 298, 'temp_max': 298.86, 'pressure': 1013, 'humidity': 41, 'sea_level': 1013, 'grnd_level': 852}",10000,"{'speed': 2.06, 'deg': 90}",{'all': 20},1751461137,"{'type': 2, 'id': 47683, 'country': 'RW', 'sunrise': 1751429001, 'sunset': 1751472237}",7200,202061,Kigali,200,
"{'lon': 29.3644, 'lat': -3.3822}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 302.99, 'feels_like': 303.26, 'temp_min': 302.99, 'temp_max': 302.99, 'pressure': 1013, 'humidity': 45, 'sea_level': 1013, 'grnd_level': 926}",9000,"{'speed': 10.29, 'deg': 180}",{'all': 20},1751461162,"{'type': 1, 'id': 2493, 'country': 'BI', 'sunrise': 1751429314, 'sunset': 1751472257}",7200,425378,Bujumbura,200,
"{'lon': 15, 'lat': -1}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 303.69, 'feels_like': 306.18, 'temp_min': 303.69, 'temp_max': 303.69, 'pressure': 1011, 'humidity': 56, 'sea_level': 1011, 'grnd_level': 968}",10000,"{'speed': 0.58, 'deg': 321, 'gust': 0.9}",{'all': 100},1751461383,"{'country': 'CG', 'sunrise': 1751432519, 'sunset': 1751475948}",3600,2260494,Republic of the Congo,200,
"{'lon': 31.5825, 'lat': 4.8517}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 304.76, 'feels_like': 305.05, 'temp_min': 304.76, 'temp_max': 304.76, 'pressure': 1009, 'humidity': 41, 'sea_level': 1009, 'grnd_level': 953}",10000,"{'speed': 1.98, 'deg': 94, 'gust': 2.77}",{'all': 100},1751461384,"{'country': 'SS', 'sunrise': 1751427939, 'sunset': 1751472567}",7200,373303,Juba,200,
"{'lon': 45.3438, 'lat': 2.0371}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 302.08, 'feels_like': 305.72, 'temp_min': 302.08, 'temp_max': 302.08, 'pressure': 1013, 'humidity': 70, 'sea_level': 1013, 'grnd_level': 1012}",10000,"{'speed': 8.75, 'deg': 200}",{'all': 40},1751461384,"{'type': 1, 'id': 2497, 'country': 'SO', 'sunrise': 1751424925, 'sunset': 1751468975}",10800,53654,Mogadishu,200,
"{'lon': 38.7469, 'lat': 9.025}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 289.6, 'feels_like': 289.05, 'temp_min': 289.6, 'temp_max': 289.6, 'pressure': 1014, 'humidity': 67, 'sea_level': 1014, 'grnd_level': 770}",10000,"{'speed': 2.66, 'deg': 322, 'gust': 4.3}",{'all': 98},1751461385,"{'country': 'ET', 'sunrise': 1751425784, 'sunset': 1751471283}",10800,344979,Addis Ababa,200,
"{'lon': 38.9333, 'lat': 15.3333}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 290.51, 'feels_like': 290.18, 'temp_min': 290.51, 'temp_max': 290.51, 'pressure': 1013, 'humidity': 72, 'sea_level': 1013, 'grnd_level': 793}",5240,"{'speed': 1.87, 'deg': 347, 'gust': 3.06}",{'all': 98},1751461385,"{'country': 'ER', 'sunrise': 1751425056, 'sunset': 1751471922}",10800,343300,Asmara,200,{'1h': 2.43}
